Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,66.970001,67.410004,66.629997,66.879997,65.788658,941000
2021-04-13,67.230003,67.239998,66.260002,66.410004,65.326332,1209300
2021-04-14,66.070000,66.370003,65.519997,65.680000,64.608238,1019900
2021-04-15,66.070000,66.070000,64.879997,65.629997,64.559059,987100
2021-04-16,65.660004,66.440002,65.309998,66.379997,65.296814,1397700
2021-04-19,66.879997,67.029999,66.040001,66.239998,65.159103,988500
2021-04-20,66.040001,66.250000,65.150002,66.050003,64.972206,2384000
2021-04-21,65.860001,66.400002,65.529999,65.980003,64.903343,801700
2021-04-22,66.050003,66.855003,66.010002,66.550003,65.464043,1105000
2021-04-23,66.290001,66.639999,65.690002,66.250000,65.168945,891500
2021-04-26,66.400002,66.820000,66.154999,66.330002,65.247635,700300
2021-04-27,66.230003,67.183998,66.169998,66.879997,65.788658,1028000
2021-04-28,66.730003,67.529999,66.730003,67.290001,66.191971,937100
2021-04-29,67.769997,68.480003,67.480003,67.779999,66.673973,1376500
2021-04-30,67.959999,70.230003,67.790001,68.610001,67.490433,1974800
2021-05-03,69.220001,71.120003,69.209999,70.410004,69.261055,1412600
2021-05-04,70.400002,70.510002,69.269997,69.860001,68.720032,661400
2021-05-05,69.839996,70.089996,68.800003,69.010002,67.883904,1896900
2021-05-06,70.389999,70.389999,67.660004,68.709999,67.588791,1575200
2021-05-07,68.879997,69.680000,68.669998,69.480003,68.346237,963600
2021-05-10,69.370003,69.669998,68.949997,69.099998,67.972427,898300
2021-05-11,68.510002,68.709999,67.239998,68.019997,66.910049,1022600
2021-05-12,67.860001,67.919998,66.769997,66.930000,65.837845,1253800
2021-05-13,66.709999,67.550003,66.349998,66.690002,65.601761,812000
2021-05-14,67.059998,67.870003,66.644997,67.650002,66.546097,828400
2021-05-17,67.349998,67.580002,66.820000,67.470001,66.369026,619600
2021-05-18,67.519997,68.250000,67.239998,67.620003,66.516586,1245700
2021-05-19,66.660004,67.809998,66.510002,67.779999,66.673973,1090600
2021-05-20,68.000000,68.820000,67.970001,68.660004,67.539619,1158900
2021-05-21,69.089996,69.089996,68.095001,68.150002,67.037941,785700
2021-05-24,68.489998,68.709999,68.040001,68.209999,67.096954,722100
2021-05-25,68.489998,68.489998,67.879997,67.980003,66.870712,959400
2021-05-26,67.739998,68.750000,67.489998,68.510002,67.392059,862800
2021-05-27,68.910004,69.510002,68.519997,69.370003,68.238029,1128900
2021-05-28,69.449997,69.959999,69.360001,69.720001,68.582314,1553200
2021-06-01,70.000000,70.709999,69.860001,70.470001,69.320084,1070500
2021-06-02,70.709999,70.739998,69.599998,69.730003,68.592155,766900
2021-06-03,69.459999,69.860001,68.820000,69.120003,67.992111,847700
2021-06-04,69.260002,69.470001,68.785004,69.180000,68.051132,542600
2021-06-07,69.470001,69.470001,68.550003,68.669998,67.549446,1116400
2021-06-08,68.669998,69.139999,68.599998,68.620003,67.500267,930400
2021-06-09,68.709999,68.820000,67.654999,67.720001,66.614960,1222700
2021-06-10,67.980003,68.019997,66.570000,67.860001,66.752663,2390300
2021-06-11,67.879997,68.220001,67.535004,68.099998,66.988747,923400
2021-06-14,68.129997,68.550003,67.830002,68.070000,66.959236,711800
2021-06-15,68.349998,68.589996,67.980003,68.379997,67.264183,671300
2021-06-16,68.300003,68.820000,67.970001,68.339996,67.224838,799200
2021-06-17,68.589996,69.449997,67.680000,67.930000,66.821526,867600
2021-06-18,67.180000,67.430000,66.169998,66.190002,65.109917,1110300
2021-06-21,66.260002,67.059998,66.110001,66.570000,65.483719,3052900
2021-06-22,66.040001,66.059998,65.250000,65.790001,65.235825,3077400
2021-06-23,65.849998,65.980003,65.070000,65.089996,64.541718,1149900
2021-06-24,65.209999,65.559998,64.760002,65.110001,64.561554,848600
2021-06-25,65.110001,65.459999,64.860001,65.110001,64.561554,1100300
2021-06-28,65.349998,65.440002,63.785000,64.419998,63.877365,2569700
2021-06-29,64.449997,64.660004,64.019997,64.430000,63.887280,1267100
2021-06-30,64.339996,64.680000,63.930000,64.440002,63.897198,1020400
2021-07-01,64.570000,65.500000,64.570000,65.160004,64.611137,752700
2021-07-02,65.349998,65.379997,64.349998,64.820000,64.273994,1495200
2021-07-06,64.669998,64.959999,63.540001,64.400002,63.857536,1198300
2021-07-07,64.320000,64.620003,63.917000,64.559998,64.016182,944600
2021-07-08,63.750000,64.040001,63.275002,63.750000,63.213009,955000
2021-07-09,64.269997,64.540001,64.040001,64.320000,63.778206,682000
2021-07-12,63.820000,64.500000,63.790001,64.349998,63.807953,682100
